Language,English,German,Spanish,Russian
STR_SYG_16,You can't load the dead %1 into a %2!,Sie können eine zerstörte Waffe %1 nicht in %2 laden!,¡No puedes cargar un arma destruida %1 en %2!,Вы не можете загрузить уничтоженное орудие %1 в %2!

//----------------------------------------------------------------------------
// Server.cfg strings:
//------------------------------------------------------------------------------
STR_SERVER_MOTD0,The islanders are happy to welcome you in your native language!,"Die Inselbewohner sind glücklich, Sie zu begrüßen, in Ihrer Muttersprache!",¡Los isleños están felices de darle la bienvenida en su idioma nativo!,Островитяне рады приветствовать Вас на вашем родном языке!
STR_SERVER_1,Shooting at allies from any weapon under any pretext is strictly prohibited!,Schießen Verbündete aus jeder Waffe unter irgendeinem Vorwand ist streng verboten!,¡Está estrictamente prohibido disparar a los aliados desde cualquier arma con cualquier pretexto!,Стрельба по союзникам из любого оружия под любым предлогом строго запрещена!

//---------------------------------------------------------------------------
// SYS scripts strings:
//--------------------------------------------------------------------------

STR_SYS_00,Your mash was destroyed,Ihre Maische wurde zerstört,Su tienda médica ha sido destruida,Ваша мед. палатка была уничтожена.
STR_SYS_01,Grass layer set to: %1,Die gras-Ebene festgelegt werden: %1,Configuración de visualización de hierba: %1,Настройки отображения травы: %1

STR_DANGER_NUM,4,4,4,4
STR_DANGER_0,"Suddenly, streams of cold sweat began to flow down your spine ...",Plotzlich lauft Ihnen am Rucken ein kalter schweis runter...,"De repente, chorros de sudor frío fluyeron por tu espalda...",Внезапно по вашей спине потекли струйки холодного пота...
STR_DANGER_1,Suddenly you felt terrible ...,Plotzlich und unerwartet spuren Sie ein angst gefuhl...,De repente te has vuelto espeluznante...,Вдруг вам стало жутко...
STR_DANGER_2,Suddenly you realize that this is your last thought ...,Plotzlich verstehen Sie das es Ihr letzter gedanke...,"De repente, te das cuenta de que este es tu último pensamiento...","Внезапно вы понимаете, что это - ваша последняя мысль..."
STR_DANGER_3,Alarm! It seemed to you that the evil cold look follows you ...,Sie denken das ein kalter boser Blick sie anschaut...,De repente te das cuenta de que estás siendo seguido por una mirada fría y malvada...,"Вдруг Вы осознаёте, что за вами следит холодный злобный взгляд..."

STR_TV_NUM,6,6,6,6
STR_TV_0,"For a second you thought the tower had fallen!","Eine Sekunde lang dachten Sie, der Turm sei eingestürzt!","¡Por un segundo pensaste que la torre había caído!","На секунду Вам показалось, что башня упала!"
STR_TV_1,"You've got your eyes squeezed shut... the tower - stands!","Du hast deine Augen zugedrückt... der turm - steht!","Tienes los ojos cerrados... la torre - ¡se mantiene!","Вы зажмурили глаза... башня - стоит!"
STR_TV_2,"You blinked... You thought it had fallen! But alas... wrong...","Du hast geblinzelt... Du dachtest, sie sei gefallen! Aber leider... falsch...","Parpadeaste... ¡Pensabas que se había caído! Pero, por desgracia... equivocado...","Вы моргнули... Вам показалось - она упала! Но увы... ошиблись..."
STR_TV_3,"Damn tower, it fell! I saw it!!! Ahhhhhhhh...","Der verdammte Turm, er ist eingestürzt! Ich habe es gesehen!!! Ahhhhhhhh...","¡La maldita torre, se ha caído! ¡¡Lo vi!! Ahhhhhhhh...","Проклятая башня, она же упала! Я видел!!! А-а-а-а-а..."
STR_TV_4,What the hell is this!,Was zum Teufel!,¿Qué diablos?,Что за чертовщина!
STR_TV_5,"Your hit on the TV tower was good, but the tower held up!","Dein Treffer auf den Fernsehturm war gut, aber der Turm hat gehalten!","Tu golpe en la torre de televisión fue bueno, ¡pero la torre aguantó!","Ваш удар по телебашне был хорош, но башня устояла!"
STR_TV_VEH,For the loss of a valuable unit without damage to the enemy you lose points: -%1,Für den Verlust einer wertvollen Einheit ohne Schaden für den Feind verlieren Sie Punkte: -%1,Por la pérdida de una unidad valiosa sin daño al enemigo pierdes puntos: -%1,За утрату ценной боевой единицы без ущерба для врага вы теряете очки: -%1

STR_SYS_2,MG nest,MG-Nest,MG-nido,Пул.гнездо
STR_SYS_02,MG %1,MG %1,MG %1,Пул. %1
STR_SYS_03,Your MG nest was destroyed,Ihre  Maschinengewehr-Nest zerstört wurde,Su nido de ametralladoras ha sido destruido.,Ваше пулемётное гнездо было уничтожено.
STR_MG_1,You must be kidding...,Sie müssen Spaß machen...,"Bromeaba, sí...","Пошутил, да..."
STR_MG_2,You have already build a mg nest. You have to remove it to build a new one.,"Sie haben bereits bauen ein mg-nest. Sie haben, um es zu entfernen, um ein neues bauen.",Enrolle el viejo zócalo de la ametralladora que instalar el nuevo.,"Сверните старое пулемётное гнездо, что установить новое."
STR_MG_3,It is not possible to place a mg nest into water.,"Es ist nicht möglich, ein mg-nest ins Wasser.",Las ametralladoras bajo el agua aún no funcionan...,Пулеметы под водой пока не работают...
STR_MG_4,You need %2 points to build a mg nest. Your current scores: %1,"Sie müssen %2 Punkte, um zu bauen ein mg-nest. Ihre aktuelle Punktzahl beträgt: %1",Para crear una ametralladora necesitas puntos: %2. Tienes %1,Чтобы создать пулемет Вам необходимы очки: %2. У Вас их %1
STR_MG_5,Place not valid. Try another location.,Ist nicht gültig. Versuchen Sie einen anderen Ort.,Pruébalo en otro lugar...,Попробуйте в другом месте...
STR_MG_6,You died before your MG nest was ready.,Sie starb vor Ihrem MG-nest fertig war.,Murió antes de desplegar el nido de ametralladoras...,"Умер до того, как развернул пулеметное гнездо..."
STR_MG_7,MG Nest ready.,MG-Nest fertig.,Nido de ametralladora listo,Пулемётное гнездо готово
STR_MG_8,Remove MG Nest,Entfernen MG-Nest,Retire el nido de ametralladoras,Убрать пул. гнездо

STR_MED_01,Mash,Med.Zelt,Tienda médica,Мед.палатка
STR_MED_1,You have already build a mash. You have to remove it to build a new one.,"Sie haben schon bauen einen Brei. Sie haben, um es zu entfernen, um ein neues bauen.",Ya tienes una tienda médica. Enróllelo antes de instalar uno nuevo.,"У вас уже есть мед.палатка. Cверните её перед тем, как устанавливать новую."
STR_MED_2,It is not possible to place a medic tent into water.,"Es ist nicht möglich, eine medic-Zelt ins Wasser.",La instalación en el agua no es posible...,Установка в воду невозможна...
STR_MED_3,You died before your Mash was ready.,"Er starb, bevor medizinische Zelt brachte.",Falleció antes de instalar una carpa médica...,"Скончался до того, как установил мед.палатку..."
STR_MED_4,Mash is ready.,Die medizinische Abteilung ist bereit.,La unidad sanitaria está lista.,Санчасть готова.
STR_MED_5,Mash %1,Med.Zelt %1.,Sanchart %1,Санчасть %1
STR_MED_6,Remove Mash,Entfernen Sie die Med.Zelt,Eliminar el saneamiento,Убрать санчасть
STR_MED_7,You get %1 points because other units used your mash for healing!,"Sie bekommen %1 Punkte, da andere Einheiten verwendet werden, Ihre Maische für die Heilung!",Usted obtiene %1 puntos. por tratar a los combatientes en su tienda...,Вы получаете %1 очк. за лечение бойцов в вашей палатке...
STR_MED_8,You get +%1 points for healing %2 (%3)!,Erhalten Sie +%1 Punkte für die Heilung %2 (%3)!,Obtienes puntos: + %1 por curar %2 (%3),Вы получаете очки: +%1 за излечение %2 (%3)

STR_SYS_04,"Engineer scores for vehicles repair: air +%1, armored +%2, transport +%3, others +%4\n","Ingenieur erreicht souverän für Fahrzeuge reparieren: Luft +%1, Gepanzerte +%2, transport +%3, andere +%4\n","Interconexión ingeniero para el mantenimiento: vehículos de aviación +%1, vehículos blindados +%2, transporte +%3, otros +%4\n \ n","Очки инженера за ремонт: авиатехники +%1, бронетехники +%2, транспорта +%3, прочего +%4\n"
STR_SYS_05,Engineer refueling not limited: yes\n,Ingenieur tanken nicht begrenzt: ja\n,Ingeniero vierte el tanque lleno durante la reparación: sí\N,Инженер заливает полный бак при ремонте: Да\n
STR_SYS_06,Engineer refueling is limited to (litres): %1\n,Ingenieur tanken ist beschränkt (Liter): %1\n,Ingeniero durante la reparación vierte combustible (litros): %1\n,Инженер при ремонте заливает горючего (литры): %1\n
STR_SYS_07,Vehicle status,Status des Fahrzeugs,Estado de la máquina,Статус машины

STR_SYS_10,Additional death scores penalty after rank: %1\n,Zusätzliche Tod Strafe Partitur nach Rang: %1\n,Resta puntos por muerte después de otro título: %1\n,Доп. вычитание очков за смерть  после очередного звания: %1\n

STR_SYS_11,Your health is %1,Ihre Gesundheit: %1,Salud: %1,Здоровье: %1
STR_SYS_11_1,Fatigue %1,Ermüdung %1,Fatiga: %1,Усталость: %1

STR_SYS_12,You have no map!!!,Sie haben keine Karte!!!,¡No tienes un mapa!!!,У вас нет карты!!!
STR_SYS_13,Click with mouse on the title centers the map on target,Klicken Sie mit der Maus auf den Titel zentriert die Karte auf Ziel,Haga clic en el título - > centrar el mapa en el objetivo,Клик на заголовок -> центрирование карты на цель
STR_SYS_14,Vehicle status: %4\n--------------------------------\nFuel: %1\nDamage: %2\nRepair time: %3 secs,Fahrzeugstatus: %4\n--------------------------------\nKraftstoff: %1\nSchaden: %2\n-Reparatur-Zeit: %3 Sek.,Estado de la técnica: %4\n--------------------------------\combustible: %1\n daño: %2 \ ntiempo de reparación: %3 seg.,Статус техники: %4\n--------------------------------\nТопливо: %1\nПовреждение: %2\nВремя ремонта: %3 сек.
STR_SYS_15,%1/%2 l.,%1/%2 l.,%1/%2 l.,%1/%2 л.
STR_SYS_16,Status of vehicle:\n---------------------\n Fuel: %1\nDamage: %2,Status des Fahrzeugs:\n---------------------\nKraftstoff: %1\nSchaden: %2,Estado de la técnica: \ n---------------------\n Combustible: %1\n daño: %2,Статус техники:\n---------------------\n Топливо: %1\n Повреждение: %2
STR_SYS_17,"You are tired of the repairs at the base. Just rest for about %1 minutes, or use the repair equipment...","Sie sind die Reparaturarbeiten an der Basis leid. Ruhen Sie sich einfach für etwa %1 Minute aus, oder benutzen Sie die Reparaturausrüstung...","Estás cansado de los trabajos de reparación en la base. Descansa unos %1 min, o utiliza el equipo de reparación...","Вы устали от ремонта на базе. Просто отдохните около %1 мин., или воспользуйтея ремонтной техникой..."
STR_SYS_18,Please restore the ability to repair and refueling equipment on the base...,Bitte Wiederherstellung der Fähigkeit zur Reparatur und Betankung Ausrüstung auf der Basis...,Restaurar la capacidad de reparación y reabastecimiento de combustible de la técnica en la base...,Восстановите способность ремонта и заправки техники на базе...
STR_SYS_18_1,No any vehicle nearby that is in need of repair...,"Nein, jedes Fahrzeug in der Nähe, dass ist in der Notwendigkeit der Reparatur...",No se encontraron máquinas que necesitaran reparación y/o repostaje...,"Машин, нуждающихся в ремонте и/или заправке, не обнаружено..."
STR_SYS_18_2,"Near %1 (%2 m.), repairs without rucksack!","In der Nähe von %1 (%2 m), Reparatur möglich!","Cerca de %1 (%2 m), ¡reparaciones posibles!","Рядом %1 (%2 м.), ремонт без рюкзака!"
STR_SYS_19,"Repair %1%2, refuel %3 L.: %4... wait...","Reparatur %1%2, Tankstellen %3 L.: %4... warten Sie...","Reparación %1%2, recarga %3 L.: %4... esperadlo...","Ремонт %1%2, заправка %3 л.: %4... ожидайте..."

STR_SYS_20,Select respawn place,Wahl eines Revival-Ortes,Elegir un lugar de renacimiento,Выбор места возрождения
STR_SYS_21,MHQ %1 gets transported by airlift...,MHQ %1 wird per Luftbrücke transportiert...,KSHM %1 en el aire...,КШМ %1 в воздухе...
STR_SYS_22,MHQ %1 currently driving...,MHQ %1 in Bewegung ...,KSHM %1 en movimiento...,КШМ %1 в движении...

STR_SYS_23,%1 has been destroyed and is queued for recovery,%1 wurde zerstört und steht zur Wiederherstellung in der Warteschlange,%1 se ha destruido y se ha puesto en cola para restaurar,"%1 уничтожен(а), и поставлена в очередь на на восстановление"

STR_SYS_25,MHQ %1 is in water...,MHQ %1 ist im Wasser...,KSHM %1 está ahora en el agua...,КШМ %1 сейчас в воде...
STR_SYS_26,Teleport on MHQ %1 is faulty (%2%3)...,Der TELEPORT auf MHQ %1 ist defekt (%2%3)...,El teletransportador en KSHM %1 está defectuoso (%2%3)...,Телепорт на КШМ %1 неисправен (%2%3)...
STR_SYS_27,"MHQ/teleport %1 dmg %2%3!","MHQ/teleportiere %1 dmg %2%3!","¡KSHM/teletransportador dañado %1 %2%3!","Повр. КШМ/телепорта %1 %2%3!"
STR_SYS_28,MHQ %1/teleport destroyed...,Teleporter/MHQ %1 wurde zerstört...,Teletransportador /KSHM %1 destruido...,Телепорт/КШМ %1 уничтожены...

STR_SYS_30,Respawn,Respawn,Renacimiento,Возрождение
STR_SYS_31,(last one),(die Letzte),(último),(последний)
STR_SYS_32,%1 MHQ %2 is in air(lift),%1 MHQ %2 ist in Luft,%1 KSHM %2 en el aire,%1 КШМ %2 в воздухе
STR_SYS_33,%1 MHQ %2 is available,%1 Respawn %2 verfügbar,%1 KSHM %2 está disponible,%1 КШМ %2 доступна
STR_SYS_34,Teleport,Teleport,Teletransporte,Телепорт
STR_SYS_35,Lift vehicle,Fahrzeug anheben,Levantar la técnica,Поднять технику
STR_SYS_36,Drop vehicle,Drop-fahrzeug,Restablecer la técnica,Сбросить технику
STR_SYS_37,"Vehicle (%1, %2) is lifted...","Fahrzeug (%1, %2) mit Hubschrauber gehoben ...","Técnica (%1, %2) levantada por helicóptero...","Техника (%1, %2) поднята вертолётом..."
STR_SYS_37_1,recoverable,wiederherstellbar,recuperable,восстановима
STR_SYS_37_0,not recoverable,nicht erstattungsfähig,no recuperable,не восстановима
STR_SYS_38,Overwhelming vehicle (%1)...,Sehr schwere Maschine (%1)...,La técnica es inamovible (%1)...,Техника неподъёмна (%1)...
STR_SYS_38_0,"The Mi-8 is not capable of lifting a truck with a cannon inside","Der Mi-8 ist nicht in der Lage, einen Lastwagen mit einer Kanone darin zu heben.","El Mi-8 no es capaz de levantar un camión con un cañón dentro","Ми-8 просто не способен поднять грузовик с пушкой!"
STR_SYS_38_1,The vehicle (%1) not in restore list...,Wir stellen solche Fahrzeuge nicht wieder her (%1)...,"Esta técnica (%1) no tiene instrucciones de reparación, consulte el manual de operación...","Такую технику (%1) нет указаний восстанавливать, обратитесь к руководству операцией..."
STR_SYS_38_2,"This vehicle (%1) is too deep (%2 m.), we will not get it, alas...","Dieses Fahrzeug (%1) ist zu tief (%2 M.), wir werden es leider nicht bekommen...","Esta técnica (%1) es demasiado profunda (%2 m.), no podemos conseguirlo, por desgracia...","Эта техника (%1) слишком глубоко (%2 м.), не достанем, увы..."
STR_SYS_39,Vehicle was dropped...,Fahrzeug ist gelöscht...,Técnica descartada...,Техника сброшена...

STR_SYS_40,"Attention! There are %2 enemy spotter[s] in %1","Achtung! Es gibt %2 feindliche Späher in %1","¡Atención! Hay %2 observadores enemigos en %1","Внимание! В %1 действуют вражеские корректировщики, %2 чел."
STR_SYS_40_0,"Attention! There are %1 enemy spotter[s] on the island","Achtung! Es befinden sich %1 feindliche Späher auf der Insel","¡Atención! Hay %1 observadores enemigos en la isla","Внимание! На острове действуют вражеские корректировщики, %1 чел."
STR_SYS_41,All enemy spotters are killed...,Alle feindlichen Aufklärer zerstört ...,Todos los observadores enemigos han sido destruidos...,Все вражеские корректировщики уничтожены...
STR_SYS_42,Teleport/Parajump,Teleport/Parajump,Teletransporte / Paracaídas,Телепорт/Парашют

STR_SYS_43,"You were demoted from the rank of %1 to %2! Alas, farewell to high rank in the Homeland...","Sie verbannt wurden in den Rang von %1 und %2! Ach, verzeihe, einen hohen Rang in der Heimat...","¡Ha sido degradado de %1 a %2! Adiós, alta pensión en Casa...","Вы разжалованы со звания %1 до %2! Прощай, высокая пенсия на Родине..."
STR_SYS_44,"You were promoted in rank from %1 to %2, and be assigned to it in the Homeland!","Sie sind im Rang erhöht mit %1 bis %2, die zugewiesen wird, in der Heimat!","¡Has sido ascendido de %1 a %2, con una pensión elevada en tu país de Origen!","Вы повышены в звании с %1 до %2, с повышенной пенсией на Родине!"
STR_SYS_45,"You have reached an incredible level! From the title %1 to the %2! It doesn't happen! Go home immediately! After all, the Motherland is in danger!!!",Sie erreichten unglaublichen Maß! Mit Rang %1 und %2! So gibt es nicht! Sofort nach Hause! Denn Heimat ist in Gefahr!!!,"¡Has alcanzado un nivel increíble! ¡Del rango %1 al %2! ¡Eso no sucede! ¡Ahora a casa! ¡Después de todo, la patria está en peligro!!!",Вы достигли невероятного уровня! Со звания %1 до %2! Так не бывает! Немедленно домой! Ведь Родина в опасности!!!
STR_SYS_46,Your rank:,Ihr Titel:,Título:,Звание:

STR_SYS_47,"'\' - parachute!","'\' - öffne die Rutsche","'\' - abrir el paracaídas","'\' - раскрыть парашют"

STR_SYS_50,Combat Engineers,Militär-Ingenieure,Ingenieros militares,Военные инженеры
STR_SYS_51,Rescue-gunners,Retten-schützen,Fuerzas especiales GRU-artilleros,Спецназ ГРУ-артиллеристы
STR_SYS_52,Military medics,Militär-Sanitäter,Médicos militares,Военные медики
STR_SYS_53,Close,Schließen,Cerrar,Закрыть
STR_SYS_54,GRU intel,Intelligenz der GRU,Información de GRU,Информация ГРУ
STR_SYS_55,The intelligence agent will arrive in the next version. He will inform you where to deliver him.,"Der Agent wird in den folgenden Versionen. Er wird sagen, wohin liefern.",El oficial de inteligencia ilegal llegará en la próxima versión. Él dirá dónde llevarlo.,"Разведчик-нелегал прибудет в следущей версии. Он скажет, куда его доставить."
STR_SYS_56,Just a rumor:,Nur Gerüchte:,"Mientras tanto, solo rumores:",А пока только слухи:
STR_SYS_56_1,And a rumor:,Auch neue Gerüchte:,También rumores:,Также слухи:
STR_SYS_57,Settings,Einstellung,Ajustes,Настройки
STR_SYS_58,Side mission(%1):,Side mission(%1):,Tarea adicional(%1):,Доп. задание(%1):
STR_SYS_58_1,Secondary Main Target Mission:,Sekundäre Ziel Der Mission:,Orden adicional:,Дополнительный приказ:
STR_SYS_58_2,Wait for further instructions...,Warten Sie auf weitere Anweisungen...,Espere una orden adicional...,Ожидайте дополнительно приказа...
STR_SYS_59,Main target:,Ziel:,Objetivo principal:,Главная цель:
STR_SYS_59_1,large,groß,grande,крупный
STR_SYS_59_2,last,letzte,último,посл.
STR_SYS_59_3,Finish SM!,Fertig SM!,¡Completa la misión extra!,Завершите доп.!
STR_SYS_60,DANGER:,ACHTUNG:,ATENCIÓN:,ВНИМАНИЕ:
STR_SYS_61,Enemy troops on your base.,Feindliche Soldaten auf dem Luftwaffenstützpunkt,Tropas enemigas en la base,Вражеский десант на базе
STR_SYS_62,CLEAR:,Entwarnung,RETRETA:,ОТБОЙ:
STR_SYS_63,No more enemies in your base.,Die Anwesenheit von feindlichen Truppen auf unserer Militärbasis eliminiert,Los enemigos desaparecieron del territorio de la base,Враги исчезли с территории базы
STR_SYS_64,Your transport (%1) is refurbished by technical service...,Ihr Transport (%1) renoviert technischen Service...,Su transporte (%1) ha sido reparado por el Servicio técnico...,Ваш транспорт (%1) отремонтирован техсервисом...
STR_SYS_65,The enemy revealed us...,Der Feind öffnete Sie...,El enemigo nos encontró...,Враг обнаружил нас...

STR_SYS_66,You were demoted from %1 to %2 !!!,"Sie wurden abgebaut von %1, %2 !!!",Ha sido degradado de %1 a %2,Вы разжалованы со звания %1 до звания %2
STR_SYS_67,"You were promoted to %1, congratulations !!!","Sie wurden gefördert %1, herzlichen Glückwunsch !!!",Felicitaciones por el título extraordinario %1,Поздравляем с присвоением внеочередного звания %1
STR_SYS_68,"This is the maximum standard rank for the island, but there will be higher ranks!","Dies ist der maximale Standardrang für die Insel, aber es wird auch höhere Ränge geben!","Este es el máximo rango estándar para la isla, ¡pero habrá rangos más altos!","Это максимальный стандартный ранг для острова, но будут звания и повыше!"
STR_SYS_68_1,"Ranks: %1(%2), %3(%4), %5(%6), %7(%8), %9(%10), %11(%12), %13(%14) and further, Generals","Dienstgrade:  %1(%2), %3(%4), %5(%6), %7(%8), %9(%10), %11(%12), %13(%14) und darüber hinaus Generäle","Rangos:  %1(%2), %3(%4), %5(%6), %7(%8), %9(%10), %11(%12), %13(%14) y además, Generales","Звания:  %1(%2), %3(%4), %5(%6), %7(%8), %9(%10), %11(%12), %13(%14) и далее, генералы"
STR_SYS_68_2,"Capabilities: repair(%1),BRDM/BMP(%2),tank(%3),attack helicopter(%4),airplane(%5)","Fähigkeiten: Fix(%1),BRDM/BMP(%2),Panzer(%3),Kampfhubschrauber(%4),Flugzeug(%5)","Capacidades: fix(%1),BRDM/BMP(%2),tanque(%3),helicóptero de ataque(%4),avión(%5)","Возможности: ремонт(%1),БРДМ/БМП(%2),танк(%3),боевой вертолёт(%4),самолёт(%5)"
STR_SYS_68_3,"You were absent from the island %1","Du warst nicht auf der Insel %1","Te has ausentado de la isla %1","Вы отсутствовали на острове %1"

STR_SYS_69,Select Teleport Destination,Wählen Sie Teleportieren Ziel,Selección del lugar de teletransporte,Выбор места телепортирования
STR_SYS_70,Base,Base,Base,База
STR_SYS_71,MHQ One,MHQ One,KSHM 1,КШМ 1
STR_SYS_72,MHQ Two,MHQ Two,KSHM 2,КШМ 2
STR_SYS_73,Teleport not available in a vehicle !!!,Teleport nicht in einem Fahrzeug !!!,¡El teletransportador no está disponible desde la tecnología!!!,Телепорт недоступен из техники!!!
STR_SYS_74,You are carrying the enemy flag. Teleport is not possible !!!,Sie tragen die fahne. Teleport ist nicht möglich !!!,Llevas una bandera enemiga. ¡El teletransportador no está disponible!!!,Вы несете вражеский флаг. Телепорт недоступен!!!
STR_SYS_75,"Teleporting in water is off, it will explode !!!","Das Teleportieren im Wasser ist ausgeschaltet, es wird explodieren !!!","¡Teletransportarse en el agua está desactivado, va a estallar!!!","Телепортирование в воде отключено, рванёт!!!"
STR_SYS_75_1,Teleporting not possible while factory %1 is ruined !!!,"Das teleportieren nicht möglich, während Fabrik %1 ist kaputt !!!",¡No se puede teletransportar mientras se destruye el Servicio %1!!!,"Телепортирование невозможно, разрушен сервис %1!!!"
STR_SYS_75_2,Teleporting not possible while MHQ has damage (%1%2)!!!,"Teleportieren nicht möglich, während MHQ Schaden hat (%1%2)!!!","No es posible teletransportarse, debido a los daños de KSHM (%1%2)!!!","Телепортирование невозможно, из-за повреждений КШМ (%1%2)!!!"
STR_SYS_75_3,"Damage to MHQ %1%2, repair immediately, otherwise the teleport will stop working!","MHQ %1%2 Schaden, sofort reparieren, sonst funktioniert der Teleport nicht mehr!","Dañado KSHM %1%2, reparar inmediatamente, de lo contrario el teletransportador dejará de funcionar!","Повр. КШМ %1%2, немедленно почините, иначе перестанет работать телепорт!"
STR_SYS_75_4,MHQ #%1. A large mass of iron was found nearby!,MHQ #%1. In der Nähe - eine Masse aus Eisen!,"MHQ #%1. Cerca, una masa de hierro!",КШМ #%1. Рядом обнаружена большая масса железа!
STR_SYS_75_40,MHQ #%1. A mass of ferromagnetic was found nearby!,MHQ #%1. Eine Masse von ferromagnetischen wurde in der Nähe gefunden!,MHQ #%1. ¡Se encontró una masa de ferromagnéticos cerca!,КШМ #%1. Рядом ферро-магнитная масса!
STR_SYS_75_BASE,Base. A large mass of iron was found nearby!,Base. In der Nähe - eine Masse aus Eisen!,"MHQ #%1. Cerca, una masa de hierro!",База. Рядом обнаружена большая масса железа!
STR_SYS_75_5,Dest. point is %1 off due to ferro-magnetic mass and/or MHQ damage!,Der Zielpunkt ist aufgrund der Eisenmasse und/oder des MHQ-Schadens um 1 % verschoben!,El punto de destino está %1 fuera debido a la masa de hierro y/o al daño del MHQ!,Точка назначения %1 смещена из-за массы железа и/или повреждения КШМ!
STR_SYS_75_5_2,slightly,leicht,ligeramente,слегка
STR_SYS_75_5_5,a little,ein wenig,un poco,ненамного
STR_SYS_75_5_10,significantly,deutlich,significativamente,существенно
STR_SYS_75_5_MORE,has very much,sehr,muy,весьма

STR_SYS_76,"Due to the strong wind over the ocean, you jumped a little wrong: %1 m. to %2","Wegen des starken Windes über dem Ozean sind Sie ein wenig falsch gesprungen: %1 m. bis %2","Debido al fuerte viento sobre el océano, saltaste un poco hacia el lado equivocado: %1 m. a %2",Из-за сильного ветра над океаном Вы прыгнули немного не туда: %1 m. на %2
STR_SYS_77,Cancel service,Rückgängig Service,Cancelar Servicio,Отменить обслуживание
STR_SYS_78,Lift %1,Hubschrauber %1,Helicóptero de transporte %1,Трансп. вертолёт %1
STR_SYS_79,Wreck Lift,Wrack heben,Transporte de escombros,Трансп. обломков
STR_SYS_79_1,Chopper Menu,Chopper-Menü,Menú del helicóptero,Меню вертолёта
STR_SYS_79_2,MHQ Menu,MHQ Menu,Menú KSHM,Меню КШМ
STR_SYS_79_3,You're not allowed to fly!,Sie sind nicht erlaubt zu Fliegen!,¡El nacido no puede volar!,Рождённый ползать летать не может!

STR_SYS_80,Main Targets,Hauptziele,Objetivos principales,Главные цели
STR_SYS_81,South Route,Südrichtung,Dirección sur,Южное направление
STR_SYS_82,North West Route,Nord-West-Richtung,Dirección Noroeste,Северо-Западное направление
STR_SYS_83,North Middle Route,Nord-Mitte-Route,Dirección Norte,Северное направление
STR_SYS_84,North East Route,Nord-Ost-Route,Dirección noreste,Северо-Восточное направление
STR_SYS_85,"Complete, ordered","Komplett, bestellt",Toda la isla en orden,Весь остров по порядку
STR_SYS_86,Random 2,Random 2,Al azar 2,Случайно 2
STR_SYS_87,Random 4,Random 4,Al azar 4,Случайно 4
STR_SYS_88,Random 6,Random 6,Al azar 6,Случайно 6
STR_SYS_89,Random 8,Random 8,Al azar 8,Случайно 8
STR_SYS_90,Random 10,Random 10,Al azar 10,Случайно 10
STR_SYS_91,Random 12,Random 12,Al azar 12,Случайно 12
STR_SYS_92,Random 14,Random 14,Al azar 14,Случайно 14
